"RELATION,LEFTTERM,RIGHTTERM,COUNT"
"synonym,agriculture specialist,AGS,2"
"synonym,standalone laptop,windows_xp_sp2,2"
"synonym,situation awareness,SA,2"
"synonym,truck infrared system,TIS,2"
"synonym,radio signal strengths,RSS,2"
"synonym,northeast uas airspace integration research,NUAIR,2"
"synonym,cumulative distribution function,CDF,2"
"synonym,drone pilot,cool_careers,2"
"synonym,general purpose processor,GPP,2"
"sibling,DOC,ADS,2"
"synonym,unmanned aerospace vehicles,UAVs,2"
"synonym,high speed railway,HSR,2"
"sibling,GMTI,SAR,2"
"synonym,canadian aviation regulation advisory council,CARAC,2"
"synonym,general counsel,OGC,2"
"synonym,multi platform vehicle test set,MPVTS,2"
"ancestor,VM,memory_usage,2"
"synonym,unmanned systems,ICARUS,2"
"synonym,national aviation authorities,NAAs,2"
"synonym,error messages,transaction_genstatus,2"
"sibling,MDSU,ADS,2"
"synonym,research transition team,RTT,2"
"synonym,internet protocol,IP,2"
"ancestor,air traffic control,airspace_managers,2"
"synonym,GIS,geographical_information_systems,2"
"synonym,open source community,OSC,2"
"synonym,unmanned aircraft,UAV,2"
"synonym,unit of action,UoA,2"
"synonym,forward looking infra red,FLIR,2"
"synonym,CFI,ROT,2"
"synonym,ground vibration test,GVT,2"
"synonym,israeli air force,IAF,2"
"sibling,pilot mode,selfie_mode,2"
"synonym,open geospatial consortium,OGC,2"
"synonym,BAS,business_address_services,2"
"synonym,geographic information system,GIs,2"
"synonym,explosive ordnance disposal,EOD,2"
"ancestor,border patrol,government_entities,2"
"synonym,autonomous unmanned aerial vehicles,AUAVs,2"
"synonym,maximally stable extremal regions,MSERs,2"
"synonym,crack tip opening angle,CTOA,2"
"sibling,government institution,mining_companies,2"
"sibling,DEM,orthomosaic_image,2"
"sibling,NO2,SO2,2"
"synonym,federal regulations,CFR,2"
"synonym,micro autonomous systems technology,MAST,2"
"synonym,unmanned aircraft systems traffic management,UTM,2"
"synonym,bare machine computing,BMC,2"
"synonym,faa aviation rulemaking advisory committee,ARAC,2"
"synonym,nuclear localization signal,NLS,2"
"synonym,integrated systems solutions incorporated,ISSI,2"
"synonym,fourier transform spectroscopy,FTS,2"
"synonym,naval postgraduate school,NPS,2"
"synonym,air navigation services standards department,ANS,2"
"synonym,detection efficiency,DE,2"
"synonym,ground control unit,GCU,2"
"synonym,""2,250 lb"",""1,020_kg"",2"
"sibling,remote sensing,field_test,2"
"synonym,computer software configuration item,CSCI,2"
"synonym,fire control system,FCS,2"
"sibling,fpv camera,gimbal_control,2"
"sibling,pre authorization,public_disclosure,2"
"synonym,japanese experiment module,JEM,2"
"ancestor,nuair alliance,NASA,2"
"synonym,pseudo noise,PN,2"
"ancestor,powerful brands,bell_helicopter,2"
"synonym,battle damage assessment,BDA,2"
"synonym,western research institute,WRI,2"
"synonym,focal plane array,FPA,2"
"synonym,magnetic field apparatus,MFA,2"
"synonym,uas service suppliers,USS,2"
"synonym,european advanced technology,EAT,2"
"synonym,thielert aircraft engines gmbh,TAE,2"
"synonym,SUA,special_use_airspace,2"
"synonym,autonomous control,AC,2"
"sibling,operating system,model_number,2"
"synonym,counter clockwise,ccw_propellers,2"
"sibling,water supply,public_health,2"
"synonym,tactical unmanned air vehicle,navy_fire_scout,2"
"synonym,civil aviation authorities,DGAC,2"
"synonym,international bridge conference,IBC,2"
"synonym,and marine operations,AMO,2"
"synonym,unmanned aerial vechicle,UAVs,2"
"synonym,LiPo,lithium_polymer,2"
"sibling,CNN,financial_times,2"
"synonym,pilot activated recovery system,PARS,2"
"synonym,national weather services,NWS,2"
"synonym,beyond visual line of site,BVLOS,2"
"synonym,dynamic suite composition,DSC,2"
"ancestor,north dakota,UAS,2"
"synonym,UAS,sky_warrior,2"
"sibling,coastal surveillance,port_security,2"
"synonym,vessel traffic management information system,VTMIS,2"
"synonym,atmospheric radiation measurement,ARM,2"
"synonym,maryland port administration,MPA,2"
"synonym,lightning strike protection,LSP,2"
"sibling,bird flocks,UAV,2"
"synonym,military operations area,MOA,2"
"synonym,avalanche photo detector,APD,2"
"sibling,ERP,CRM,2"
"synonym,aerial images,unmanned_aerial_vehicle,2"
"synonym,convolutional neural network,CNN,2"
"synonym,good manufacturing practices,GMP,2"
"synonym,cooperative research and development agreement,CRADA,2"
"synonym,remotely piloted air systems,RPAS,2"
"synonym,team npm package,UMD,2"
"sibling,DOC,MDSU,2"
"synonym,leaf area index,LAI,2"
"synonym,south africa,CUAASA,2"
"synonym,integrated circuit,I2C,2"
"sibling,intelligent robotics,unmanned_systems,2"
"synonym,nasa unmanned traffic management,UTM,2"
"synonym,surveillance systems,ACSS,2"
"synonym,damped bundle adjustment toolbox,DBAT,2"
"synonym,ground segment solutions,GCS,2"
"synonym,space adaptation syndrome,SAS,2"
"synonym,exposure bracketing,AEB,2"
"synonym,micro aerial vehicles,MAV,2"
"synonym,airborne decision making,ADM,2"
"synonym,spatial standard observer,SSO,2"
"synonym,alaska fairbanks large animal research station,LARS,2"
"synonym,national security cutters,NSCs,2"
"synonym,specific operations risk assessment,SORA,2"
"ancestor,multiple flight modes,selfie_mode,2"
"synonym,broad agency announcement,BAA,2"
"sibling,UN,US,2"
"synonym,adaptation controlled environment system,ACES,2"
"sibling,autonomous flight,capture_stunning,2"
"sibling,HTML,XML,2"
"sibling,anomaly detection,SAM,2"
"synonym,DIY,do_it_yourself,2"
"synonym,open systems interconnection reference model,OSIRM,2"
"synonym,oak ridge national laboratory,ORNL,2"
"synonym,distributed denial of service,DDoS,2"
"synonym,autonomous drones systems,ADS,2"
"synonym,network functions,NFs,2"
"synonym,decision making framework,DMF,2"
"synonym,deep belief network,DBN,2"
"synonym,world mosquito program,WMP,2"
"sibling,SCL,SDA,2"
"synonym,cargo air vehicle,CAV,2"
"synonym,graphic user interface,GUI,2"
"synonym,monitoring host handle count threshold,management_server,2"
"synonym,autonomous ground vehicles,AGVs,2"
"synonym,windows management instrumentation,WMI,2"
"synonym,software intensive systems of systems,SiSoS,2"
"synonym,flight standards district office,FSDO,2"
"sibling,bug tracking,project_management,2"
"synonym,environmentally responsible aviation,ERA,2"
"synonym,architecture tradeoff analysis method,ATAM,2"
"synonym,targeted public distribution system,TPDS,2"
"sibling,total stations,GPS,2"
"sibling,crop dusting,geological_surveying,2"
"synonym,cooperative adaptive cruise control,CACC,2"
"synonym,power extension package,PEP,2"
"synonym,hitachi lightning monitoring system,HLMS,2"
"sibling,UAV,commercial_uav,2"
"synonym,special operation force,SOF,2"
"synonym,vehicle control software,VCS,2"
"synonym,advanced flow control procedures,AFCP,2"
"synonym,parameter identification,PID,2"
"sibling,blm alaska,DOF,2"
"ancestor,optionally piloted aircraft,aurora_flight,2"
"synonym,automatic switched optical network,ASON,2"
"ancestor,air traffic controllers,key_stakeholders,2"
"synonym,japan agricultural aviation association,JAAA,2"
"ancestor,prime air,drone_delivery,2"
"synonym,process id,PID,2"
"synonym,remotely operated aircraft,ROA,2"
"synonym,lithium ion,li_ion,2"
"ancestor,low bandwidth links,hf_radio,2"
"synonym,drug administration,FDA,2"
"synonym,mobile drone surveillance unit,MDSU,2"
"synonym,aviation weather program,AWP,2"
"ancestor,societal expectations,accident_avoidance,2"
"synonym,integrated vehicle health management,IVHM,2"
"sibling,ISO,shutter_speed,2"
"synonym,recreational aerial vehicle,RAV,2"
"synonym,ground test facility,GTF,2"
"synonym,remote sensing,RS,2"
"synonym,traffic collision avoidance system,TCAS,2"
"sibling,congested airspace,heavily_populated,2"
"ancestor,camera settings,shutter_speed,2"
"synonym,accelerator test facility,ATF2,2"
"synonym,autonomous target recognition,ATR,2"
"sibling,architectural design,research_institute,2"
"synonym,virginia tech transportation institute,VTTI,2"
"sibling,API,HTML,2"
"synonym,very small entities,VSEs,2"
"synonym,navid unmanned air vehicles,UAVs,2"
"synonym,optical edge rate,ER,2"
"synonym,internet of drones,IoD,2"
"synonym,toroidal field,TF,2"
"synonym,crop surface map,CSM,2"
"synonym,very high frequency,VHF,2"
"ancestor,safety features,auto_return,2"
"synonym,inexpensive unmanned air vehicles,UAVs,2"
"ancestor,swarm behaviors,collective_decision_making,2"
"synonym,III,HD,2"
"synonym,zanzibar mapping initiative,ZMI,2"
"sibling,farmland surveys,infrastructure_inspections,2"
"synonym,digital acquisition system,DAS,2"
"synonym,national science foundation,NSF,2"
"synonym,toxic industrial chemicals,TICs,2"
"synonym,anterior cruciate ligament,ACL,2"
"synonym,free space optical,FSO,2"
"synonym,national press photographers association,NPPA,2"
"synonym,integrated development environment,IDE,2"
"synonym,blended wing body uninhabited aerial vehicle,UAV,2"
"sibling,railway inspections,video_surveillance,2"
"synonym,surface vehicles,USVs,2"
"synonym,universal traffic management,UTM,2"
"synonym,computational fluid dynamics,CFD,2"
"synonym,principal component analysis,PCA,2"
"ancestor,cell reselection,neighbor_cell,2"
"synonym,optical parametric oscillator,OPO,2"
"synonym,built in test,BIT,2"
"synonym,unoccupied aircraft systems,UAS,2"
"synonym,windows presentation foundation,WPF,2"
"synonym,cloud condensation nuclei,CCN,2"
"sibling,geological surveying,search_and_rescue,2"
"synonym,air vehicles,UAVs,2"
"synonym,insight aero pars aerobot aerodreams aeroelectronica,AEL,2"
"synonym,FAR,federal_aviation_regulations,2"
"synonym,aviation weather center,AWC,2"
"sibling,general aviation,air_carrier,2"
"synonym,MEMS,microelectromechanical_systems,2"
"sibling,border patrol,police_departments,2"
"synonym,commercials pilot licence,CPL,2"
"synonym,organization designation authorization,ODA,2"
"synonym,air vehicle,UAV,2"
"synonym,web service,WS,2"
"synonym,MVVM,model_view_viewmodel,2"
"synonym,cyber power systems,USA,2"
"sibling,early stage,medium_sized,2"
"synonym,technical advisory council,TAC,2"
"synonym,mobile servicing system,MSS,2"
"synonym,insect pest control laboratory,IPCL,2"
"sibling,autonomous cars,automatic_braking,2"
"synonym,graphical interface,oem_fmw,2"
"ancestor,improvised threats,improvised_explosive,2"
"synonym,small tactical unmanned aircraft system,STUAS,2"
"sibling,RNO,MEV,2"
"synonym,continental united states,CONUS,2"
"synonym,future combat system,FCS,2"
"synonym,virtual private network,VPN,2"
"synonym,irkut irkut corporation israel aerospace industries,IAI,2"
"synonym,ground demonstration nasa technical reports server,NTRS,2"
"synonym,UASs,unmanned_aerial_systems,2"
"synonym,fly by wire a,FBWA,2"
"synonym,nuclear power plants,NPPs,2"
"ancestor,maintenance alerts,sensor_data,2"
"synonym,UTM,uas_traffic_management,2"
"ancestor,civil applications,environmental_monitoring,2"
"synonym,autonomous dynamically optimized periodic transmission,ADOPT,2"
"synonym,engineering support center,ESC,2"
"synonym,florida statute,FS,2"
"ancestor,international security,border_security,2"
"sibling,LIDAR,satellite_images,2"
"synonym,control system,RCS,2"
"synonym,integrated vehicle ground vibration test,IVGVT,2"
"synonym,international runway friction index,IRFI,2"
"synonym,nano air vehicle,NAV,2"
"sibling,financial times,foreign_policy,2"
"synonym,flight service district offices,nation_wide,2"
"sibling,FATA,NWFP,2"
"synonym,uas traffic management systems,UTM,2"
"sibling,data gathering,image_acquisition,2"
"synonym,controlled airspace,PDF,2"
"synonym,lightning location finder,LLF,2"
"synonym,joint ambient breeze tunnel,JABT,2"
"synonym,dynamic application security testing,DAST,2"
"sibling,straight leg raise,knee_extension,2"
"sibling,nuair alliance,empire_state_development,2"
"synonym,video cameras,smartphones_acceptable,2"
"synonym,west virginia university,WVU,2"
"synonym,actuator failure accommodation,AFA,2"
"sibling,regulatory compliance,risk_analysis,2"
"synonym,distributed processing,iso_rm_odp,2"
"synonym,neural network,NN,2"
"synonym,heart rate monitor,HRM,2"
"synonym,national park service,NPS,2"
"synonym,adaptive sliding mode control,ASMC,2"
"sibling,ISO,exposure_compensation,2"
"synonym,android tactical assault kit,ATAK,2"
"synonym,unmanned surface vehicles,USVs,2"
"synonym,uav solutions,US,2"
"synonym,military intelligence company,MICO,2"
"synonym,fast steering mirror,FSM,2"
"synonym,ocean ridges nasa astrophysics data system,ADS,2"
"ancestor,syracuse university,NASA,2"
"synonym,learning management system,LMS,2"
"synonym,short channel effects,SCEs,2"
"synonym,uas traffic management pilot program,UPP,2"
"synonym,world gold council,WGC,2"
"synonym,training extension course,TEC,2"
"synonym,supercooled large droplets,SLD,2"
"synonym,cooperative vehicular networking,CVN,2"
"synonym,OWASP,open_web_application_security_project,2"
"synonym,security industry association,SIA,2"
"synonym,counter terrorism unit,CTU,2"
"synonym,critical infrastructure nasa technical reports server,NTRS,2"
"synonym,authenticity check,AC,2"
"synonym,large scale topographical mapping,LSTM,2"
"ancestor,UAVs,small_uavs,2"
"ancestor,4k video,dji_inspire,2"
"synonym,jittering mosaic image processing,JMIP,2"
"synonym,small unmanned aerial vehicles,SUAV,2"
"sibling,magma chamber,magma_ascent,2"
"sibling,anomaly detection,NDVI,2"
"synonym,special flight operation certificate,SFOC,2"
"synonym,RPAS,remotely_piloted_aircraft_system,2"
"synonym,air force,USAF,2"
"ancestor,FAA,industry_partners,2"
"ancestor,crew members,visual_observers,2"
"ancestor,private sector,UN,2"
"synonym,program executive office,PEO,2"
"synonym,cheju abc plume asian monsoon experiment,CAPMEX,2"
"synonym,venus nasa technical reports server,NTRS,2"
"synonym,attitude control system,ACS,2"
"synonym,root mean squared error,RMSE,2"
"synonym,feature automatic emergency braking,AEB,2"
"synonym,commission us special operations command,USSOCOM,2"
"synonym,civilian authorities,DSCA,2"
"synonym,statement of work,SOW,2"
"synonym,network file system,NFS,2"
"synonym,regulatory guide,RG,2"
"ancestor,electromagnetic interference,frequency_disruptions,2"
"synonym,flight control box,FCB,2"
"sibling,traffic management,bridge_inspection,2"
"synonym,control monitor unit,CMU,2"
"synonym,magnetic resonance elastography,MRE,2"
"synonym,dugway proving ground,DPG,2"
"synonym,small tactical uas,STUAS,2"
"synonym,partial differential equation,PDE,2"
"synonym,time division multiplexing,TDM,2"
"sibling,drone deliveries,precision_agriculture,2"
"synonym,structural health monitoring,SHM,2"
"sibling,BBC,foreign_policy,2"
"synonym,general relativity,GR,2"
"synonym,UGV,unmanned_ground_vehicles,2"
"synonym,information architecture,IA,2"
"synonym,differential optical absorption spectroscopy,DOAS,2"
"synonym,staff instruction,SI,2"
"synonym,scripting language processor,SLP,2"
"synonym,TUBE,FOREGROUND,2"
"synonym,faa flight standards district office,FSDO,2"
"synonym,universal control system,UCS,2"
"ancestor,portable computing devices,smart_phones,2"
"synonym,fault tolerant flight control system,FTFCS,2"
"synonym,defence procurement agency,DGA,2"
"synonym,check points,CPs,2"
"sibling,fuzzy logic,neural_network,2"
"synonym,symposium nasa technical reports server,NTRS,2"
"synonym,accenture federal services,AFS,2"
"synonym,faa perspective nasa technical reports server,NTRS,2"
"synonym,performance based logistics,PBL,2"
"synonym,national research council,NRC,2"
"synonym,north carolina state highway patrol,NCSHP,2"
"sibling,infrastructure monitoring,precision_agriculture,2"
"synonym,reflectance unmanned aerial vehicle,UAV,2"
"synonym,binary robust invariant scalable keypoints,BRISK,2"
"synonym,japan aeronautic association,JAA,2"
"synonym,internal crew training system,ICTS,2"
"ancestor,image analysis,SAM,2"
"synonym,methane reforming rate,MRR,2"
"synonym,nationally recognized testing laboratory,NRTL,2"
"synonym,north china craton,NCC,2"
"synonym,sliding mode control,SMC,2"
"synonym,national training center,NTC,2"
"synonym,choppers chengdu aircraft industry corporation,CAC,2"
"synonym,spacecraft control language,SCL,2"
"synonym,ground control points,ground_truth,2"
"synonym,parasitic mites,varroa_destructor,2"
"synonym,package delivery drone unmanned aerial systems,UAS,2"
"synonym,quadrature phase shift keying,QPSK,2"
"synonym,common name,CN,2"
"synonym,vdos global,US,2"
"synonym,internet assigned numbers authority,IANA,2"
"synonym,rss measurements nasa astrophysics data system,ADS,2"
"synonym,bus trans msg,flow_mo1,2"
"ancestor,VM,garbage_collection,2"
"synonym,LTE,long_term_evolution,2"
"synonym,unmanned systems research institute,DU2SRI,2"
"synonym,adopting unmanned aerial systems,UAS,2"
"synonym,civil aeromedical institute,CAMI,2"
"synonym,software communications architecture,SCA,2"
"synonym,internation space station,ISS,2"
"synonym,southern africa,CUAASA,2"
"synonym,security requirements guide,SRG,2"
"synonym,optical automatic car identification,OACI,2"
"sibling,underwater photography,large_format,2"
"synonym,model predictive control,MPC,2"
"synonym,pakistan aeronautical complex paramount group,ATE,2"
"sibling,force protection,perimeter_security,2"
"synonym,autonomous drone systems,ADS,2"
"synonym,remote split operations,RSO,2"
"sibling,project management,business_intelligence,2"
"synonym,short range,SR,2"
"sibling,business development,government_relations,2"
"synonym,drone manufacturers alliance europe,DMAE,2"
"synonym,national full scale aerodynamics complex,NFAC,2"
"ancestor,private companies,project_wing,2"
"sibling,strong technical,R&D,2"
"synonym,small unmanned aerial vehicles,SUAVs,2"
"synonym,automatic scheduling and planning,ASAP,2"
"synonym,SVR,inversion_svr,2"
"sibling,remote sensing,radiative_budget,2"
"sibling,NDVI,SAM,2"
"synonym,pillows nasa technical reports server,NTRS,2"
"ancestor,camera settings,ISO,2"
"synonym,scale uavs nasa astrophysics data system,ADS,2"
"synonym,management console,HAL,2"
"synonym,read more drone delivery canada,DDC,2"
"synonym,GCS,ground_control_station,2"
"synonym,gust wind formula,GWF,2"
"synonym,kain fritsch,KF,2"
"sibling,forested areas,narrow_paths,2"
"synonym,multimedia home platform,MHP,2"
"synonym,line replaceable unit,LRU,2"
"synonym,catholic relief services,CRS,2"
"sibling,QGroundControl,MAVLink,2"
"synonym,acquisition management system,AMS,2"
"sibling,package deliveries,infrastructure_inspections,2"
"synonym,radio controlled,RC,2"
"synonym,risk mitigation maneuvers,RMM,2"
"synonym,digital terrain models,DTM,2"
"synonym,common avionics architecture system,CAAS,2"
"synonym,air traffic controllers,ATC,2"
"synonym,unmanned combat aerial vehicle,UCAV,2"
"ancestor,uas operators,private_sector_stakeholders,2"
"sibling,search terms stats,referring_urls,2"
"synonym,standards and recommended practices,SARPs,2"
"synonym,unmanned aerial vehicles,UAS,2"
"ancestor,FAA,government_entities,2"
"synonym,ground level,""1,300_feet"",2"
"synonym,cooperative vehicle intersection control,CVIC,2"
"synonym,faa airworthiness assurance ndi validation center,AANC,2"
"synonym,controlled flight into terrain,CFIT,2"
"synonym,post entry amendment,PEA,2"
"synonym,ambassador bridge border crossing system,ABBCS,2"
"synonym,integrated technology demonstrations,ITDs,2"
"synonym,naval undersea warfare center,NUWC,2"
"synonym,direct mapping solution,DMS,2"
"ancestor,commercial usage,risk_analysis,2"
"synonym,standard operating procedure,SOP,2"
"synonym,remote controlled,RC,2"
"synonym,coordinated ramp metering,CRM,2"
"synonym,lightning initiation,LI,2"
"synonym,model grant agreements,MGA,2"
"synonym,royal air force,RAF,2"
"synonym,maximum take off weight,MTOW,2"
"synonym,unmanned combat air vehicle,UCAV,2"
"synonym,DCA,air_transport_division,2"
"synonym,inspection authorization,IA,2"
"ancestor,manned aircraft,fixed_wing_aircraft,2"
"synonym,improvised explosive device,IED,2"
"synonym,ita data acquisition,DAQ,2"
"synonym,vtol uavs nasa astrophysics data system,ADS,2"
"synonym,special use airspace,SUA,2"
"synonym,ground control lines,GCLs,2"
"synonym,eastern range,ER,2"
"ancestor,oil spill,natural_resources,2"
"synonym,compact disc,CD,2"
"synonym,thermal imager,TI,2"
"synonym,introducing soda nasa technical reports server,NTRS,2"
"synonym,transport canada,TC,2"
"synonym,astronomical units,AU,2"
"synonym,signal intelligence,SIGINT,2"
"synonym,electric ducted fans,EDF,2"
"sibling,professional grade,DIY,2"
"ancestor,GDOT,inspecting_bridges,2"
"synonym,model driven engineering,MDE,2"
"synonym,composite materials nasa technical reports server,NTRS,2"
"synonym,electric vehicle,EV,2"
"synonym,field testing package,FTP,2"
"synonym,federal data corporation,FDC,2"
"synonym,unmanned little bird,ULB,2"
"synonym,lightning risk assessment model,LRAM,2"
"synonym,robotic systems,UGVs,2"
"synonym,automated uav mission system,AUMS,2"
"ancestor,avionics systems,flight_control_systems,2"
"synonym,cosmic microwave background,CMB,2"
"synonym,common data link,CDL,2"
"sibling,civil rights,civil_liberties,2"
"synonym,micro electro mechanical,MEM,2"
"synonym,limited aviation weather reporting stations,LAWRS,2"
"synonym,complex event processing,CEP,2"
"synonym,standing review board,SRB,2"
"synonym,internet information server,IIS,2"
"synonym,unmanned aircraft,acas_xu,2"
"sibling,syracuse university,empire_state_development,2"
"synonym,springfield beckley municipal airport,KSGH,2"
"synonym,small uas rating,small_drone_license,2"
"synonym,public key infrastructure,PKI,2"
"sibling,FPV,live_streaming,2"
"ancestor,video streaming,video_feeds,2"
"sibling,RC,quad_copter,2"
"synonym,certified architect,open_ca,2"
"sibling,common criteria,DISA,2"
"synonym,membrane electrode assembly,MEA,2"
"synonym,fbi criminal justice information services,CJIS,2"
"synonym,remote procedure call,RPC,2"
"synonym,one system ground control station,OSGCS,2"
"sibling,FIPS,AES,2"
"synonym,local binary pattern,LBP,2"
"synonym,global assembly cache,GAC,2"
"synonym,medlineplus thunderstorms space weather sun,ultraviolet_radiation,2"
"synonym,auds brochure,PDF,2"
"synonym,data management plan,DMP,2"
"sibling,drone brood,multiple_infestation,2"
"sibling,SAR,UAV,2"
"synonym,micro unmanned aerial vehicles,micro_uavs,2"
"synonym,emergency communication system,ECS,2"
"synonym,personal digital assistant,PDA,2"
"synonym,federal security service,FSB,2"
"synonym,control augmentation system,CAS,2"
"ancestor,portable storage,hard_drives,2"
"sibling,SDA,SCL,2"
"synonym,autonomous unmanned aerial vehicles,UAVs,2"
"synonym,support vector regression,SVR,2"
"synonym,full flight simulator,FFS,2"
"ancestor,united states,law_enforcement,2"
"ancestor,airspace management,sense_and_avoid,2"
"synonym,ROI,region_of_interest,2"
"synonym,digital video broadcasting,DVB,2"
"synonym,north dakota university system,NDUS,2"
"synonym,plain old clr objects,POCO,2"
"synonym,integrated path dial,IPDA,2"
"sibling,uas operations,UAV,2"
"synonym,equatorial electrojet,EEJ,2"
"synonym,herbert hoover dike,HHD,2"
"ancestor,public entities,law_enforcement_agencies,2"
"synonym,federal acquisition regulation,FAR,2"
"synonym,automated demand response,auto_dr,2"
"synonym,SA,situational_awareness,2"
"synonym,query store catalog views,transact_sql,2"
"synonym,raytheon company,US,2"
"ancestor,image analysis,anomaly_detection,2"
"synonym,bovine serum albumin,BSA,2"
"synonym,space shuttle nasa technical reports server,NTRS,2"
"synonym,medium range,MR,2"
"synonym,cold climate heat pump,CCHP,2"
"synonym,sub continental lithospheric mantle,SCLM,2"
"synonym,runtime application self protection,RASP,2"
"synonym,whipple detachment fault,WDF,2"
"ancestor,simplest tasks,route_reconnaissance,2"
"synonym,thermal imaging,IR,2"
"synonym,RFI,request_for_information,2"
"sibling,data acquisition,control_system,2"
"synonym,npm package,UMD,2"
"synonym,intelligent vehicles,IVs,2"
"synonym,business information modeling,BIM,2"
"synonym,unmanned aerospace vehicle,UAV,2"
"synonym,improved cockroach swarm optimization,ICSO,2"
"synonym,offensive swarm enabled tactics,OFFSET,2"
"synonym,square miles,""100,000_km2"",2"
"synonym,remotely piloted aircrafts,RPAs,2"
"synonym,markov chain monte carlo,MCMC,2"
"synonym,web mapping service,WMS,2"
"synonym,system integrator,SI,2"
"synonym,pilot in command,PIC,2"
"ancestor,US,western_countries,2"
"synonym,peak ground accelerations,PGAs,2"
"synonym,domain specific software architecture,DSSA,2"
"synonym,korean air korean air aerospace division,ASD,2"
"synonym,extended endurance,stalker_xe,2"
"sibling,inspecting cell towers,wind_turbines,2"
"synonym,intelligent mission management,IMM,2"
"synonym,landentwicklung baden württemberg,lgl_bw,2"
"synonym,GIS,geographic_information_system,2"
"synonym,java management extensions,JMX,2"
"ancestor,UAS,unmanned_aircrafts,2"
"synonym,standard terminal automation replacement system,STARS,2"
"synonym,quadratic program,QP,2"
"synonym,multi view stereo,MVS,2"
"sibling,SAMs,radar_detection,2"
"synonym,airspace databases nasa technical reports server,NTRS,2"
"synonym,ALI,air_land_integration,2"
"synonym,national aviation authority,NAA,2"
"synonym,ground source heat pumps,GSHP,2"
"synonym,protective breathing equipment,PBE,2"
"synonym,unscented kalman filter,UKF,2"
"sibling,CNN,foreign_policy,2"
"synonym,sioux falls,USF,2"
"synonym,ready to fly,gopro_owner,2"
"synonym,small commercial drone unmanned aerial systems,UAS,2"
"synonym,ship based tactically exploited reconnaissance node,TERN,2"
"synonym,exploration systems development,ESD,2"
"synonym,ground vehicle nasa technical reports server,NTRS,2"
"synonym,aka remotely piloted aircraft,RPA,2"
"synonym,close range,CR,2"
"synonym,model view controller,MVC,2"
"sibling,TTL,CMOS,2"
"synonym,homeland defense,HD,2"
"synonym,receiver autonomous integrity monitoring,RAIM,2"
"synonym,ice protection systems,IPS,2"
"sibling,vehicle tracking,route_reconnaissance,2"
"sibling,low intensity conflicts,urban_warfare,2"
"synonym,red green blue,RGB,2"
"synonym,modular electronics compartment,MEC,2"
"synonym,wireless sensor network,WSN,2"
"synonym,distributed temperature sensing,DTS,2"
"ancestor,GIS,spatial_analysis,2"
"synonym,xi'an aisheng,ASN,2"
"sibling,emergency response,geospatial_information_systems,2"
"sibling,infrastructure inspections,search_and_rescue,2"
"sibling,CT,COIN,2"
"synonym,direction of arrival,DOA,2"
"synonym,government printing office,GPO,2"
"synonym,DTM,digital_terrain_model,2"
"synonym,army rapid capabilities office,RCO,2"
"synonym,electronic control unit,ECU,2"
"synonym,electromagnetic effects harmonization working group,EEHWG,2"
"synonym,capital area innovative farmers,CAIF,2"
"synonym,japan schedule coordination,JSC,2"
"synonym,health information exchanges,HIEs,2"
"synonym,tucson international airport,TUS,2"
"synonym,intensive observation periods,IOPs,2"
"synonym,connected vehicle,CV,2"
"sibling,deep learning,neural_networks,2"
"synonym,starting point,home_point,2"
"synonym,naval surface warfare center,NSWC,2"
"synonym,aeronautical knowledge test,AKT,2"
"synonym,avoidance systems,TCAS,2"
"synonym,joint direct attack munition,JDAM,2"
"synonym,department of transportation federal aviation administration,FAA,2"
"synonym,static application security testing,SAST,2"
"sibling,multi spectral cameras,stereo_cameras,2"
"synonym,royal canadian air force,RCAF,2"
"synonym,RTK,precision_relnav,2"
"synonym,backup ram,SRAM,2"
"synonym,pseudomonas avellanae,Pav,2"
"synonym,digital terrestrial television,DTT,1"
"sibling,package deliveries,beyond_line_of_sight,1"
"synonym,joint test,JT,1"
"synonym,certified flight instructor,CFI,1"
"sibling,air force,army_intelligence,1"
"ancestor,android studio,developer_tools,1"
"synonym,lunar water resources demonstration,LWRD,1"
"sibling,industry leaders,forward_thinking,1"
"synonym,keck interferometer,KI,1"
"sibling,industry insiders,UAV,1"
"synonym,straight leg raise,SLR,1"
"sibling,current injection,environmental_testing,1"
"ancestor,airframe structural components,advanced_composite_materials,1"
"synonym,shuttle space vehicle,SSV,1"
"ancestor,defense contractors,lockheed_martin,1"
"synonym,characteristic curves,ROC,1"
"synonym,visual positioning system,VPS,1"
"synonym,drop size distribution,DSD,1"
"synonym,chip scale atomic clock,CSAC,1"
"sibling,aerial photography,police_surveillance,1"
"ancestor,machine learning,modern_workloads,1"
"sibling,4k camera,intel_realsense_collision_avoidance,1"
"synonym,qatar national research fund,QNRF,1"
"synonym,linear fractional transformation,LFT,1"
"ancestor,non destructive inspection,ultrasonic_inspection,1"
"synonym,silicon on insulator,SOI,1"
"ancestor,drone makers,DJI,1"
"synonym,internet content rating association,ICRA,1"
"synonym,mail f1 f2,LIST,1"
"synonym,most significant bit,MSB,1"
"ancestor,ROS,sensor_data,1"
"synonym,global air navigation plan,GANP,1"
"sibling,gray seals,YOY,1"
"synonym,fiscal years,FY,1"
"synonym,segmentation fault,core_dumped,1"
"ancestor,advanced technologies,artificial_intelligence,1"
"sibling,SOC,ISO,1"
"sibling,search and rescue,border_patrol,1"
"synonym,society of aerial cinematography,SOAC,1"
"synonym,transaction processing,TP,1"
